ticker,company_name,sic,sic_description,cluster,companyid
ORCL,ORACLE CORP,7372,Services-Prepackaged Software,0,22247
PERI,Perion Network Ltd.,7371,Services-Computer Programming Services,0,246745834
LDOS,"Leidos Holdings, Inc.",7373,Services-Computer Integrated Systems Design,0,110741
LEDS,SemiLEDs Corp,3674,Semiconductors & Related Devices,0,49436098
SIMO,Silicon Motion Technology CORP,3674,Semiconductors & Related Devices,0,2672153
BIDU,"Baidu, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,428613
WDAY,"Workday, Inc.",7374,Services-Computer Processing & Data Preparation,0,23815047
PANW,Palo Alto Networks Inc,3577,"Computer Peripheral Equipment, NEC",0,25460099
TRUE,"TrueCar, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,2105422
META,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,104764843
MX,MAGNACHIP SEMICONDUCTOR Corp,3674,Semiconductors & Related Devices,0,331298
PLTR,Palantir Technologies Inc.,7372,Services-Prepackaged Software,0,43580005
RBLX,Roblox Corp,7372,Services-Prepackaged Software,0,32789865
GRVY,"GRAVITY Co., Ltd.",7374,Services-Computer Processing & Data Preparation,0,13669587
LPL,"LG Display Co., Ltd.",3679,"Electronic Components, NEC",0,10530370
FIVN,"Five9, Inc.",7374,Services-Computer Processing & Data Preparation,0,6491418
MXL,"MAXLINEAR, INC",3674,Semiconductors & Related Devices,2,23374622
LZ,"LEGALZOOM.COM, INC.",7374,Services-Computer Processing & Data Preparation,0,11677383
MPWR,MONOLITHIC POWER SYSTEMS INC,3674,Semiconductors & Related Devices,0,3051626
AMBA,AMBARELLA INC,3674,Semiconductors & Related Devices,0,22816801
BLKB,BLACKBAUD INC,7372,Services-Prepackaged Software,0,97706
UCTT,"Ultra Clean Holdings, Inc.",3674,Semiconductors & Related Devices,0,3720301
FSLR,"FIRST SOLAR, INC.",3674,Semiconductors & Related Devices,0,4593731
FTNT,"Fortinet, Inc.",3577,"Computer Peripheral Equipment, NEC",0,2689126
DOCU,"DOCUSIGN, INC.",7372,Services-Prepackaged Software,0,9817309
FA,FIRST ADVANTAGE CORP,7374,Services-Computer Processing & Data Preparation,0,4069597
CEVA,CEVA INC,7370,"Services-Computer Programming, Data Processing, Etc.",0,3597563
CVLT,COMMVAULT SYSTEMS INC,7372,Services-Prepackaged Software,0,26789
TBRG,"TruBridge, Inc.",7371,Services-Computer Programming Services,0,2146380
VRNT,VERINT SYSTEMS INC,7373,Services-Computer Integrated Systems Design,0,1717518
NJDCY,NIDEC CORP,3621,Motors & Generators,0,882937
ATEYY,ADVANTEST CORP,3674,Semiconductors & Related Devices,0,875505
AAOI,"APPLIED OPTOELECTRONICS, INC.",3674,Semiconductors & Related Devices,0,1043391
APLD,Applied Digital Corp.,7374,Services-Computer Processing & Data Preparation,0,3563673
STX,Seagate Technology Holdings plc,3572,Computer Storage Devices,0,882897
SNCR,SYNCHRONOSS TECHNOLOGIES INC,7371,Services-Computer Programming Services,0,738400
BBBY,"BED BATH & BEYOND, INC.",5961,Retail-Catalog & Mail-Order Houses,0,675577
GSIT,GSI TECHNOLOGY INC,3674,Semiconductors & Related Devices,0,9650326
LASR,"NLIGHT, INC.",3674,Semiconductors & Related Devices,0,428918
WIT,WIPRO LTD,7371,Services-Computer Programming Services,0,598611
NTGR,"NETGEAR, INC.",3661,Telephone & Telegraph Apparatus,0,166754
ASX,"ASE Technology Holding Co., Ltd.",3674,Semiconductors & Related Devices,0,528312
PDFS,PDF SOLUTIONS INC,7372,Services-Prepackaged Software,0,32789
CRNT,CERAGON NETWORKS LTD,3663,Radio & Tv Broadcasting & Communications Equipment,0,427186
TTMI,TTM TECHNOLOGIES INC,3672,Printed Circuit Boards,0,93196
PI,IMPINJ INC,3679,"Electronic Components, NEC",2,427445
IPGP,IPG PHOTONICS CORP,3674,Semiconductors & Related Devices,0,28132538
NTES,"NetEase, Inc.",7372,Services-Prepackaged Software,0,416512
ONTF,ON24 INC.,7372,Services-Prepackaged Software,0,93933
CRM,"Salesforce, Inc.",7372,Services-Prepackaged Software,0,46476571
QLYS,"QUALYS, INC.",7372,Services-Prepackaged Software,0,125618
IFNNY,INFINEON TECHNOLOGIES AG,3674,Semiconductors & Related Devices,0,105448
LPSN,LIVEPERSON INC,7372,Services-Prepackaged Software,0,30886
ON,ON SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,0,411950
HSTM,HEALTHSTREAM INC,7370,"Services-Computer Programming, Data Processing, Etc.",0,90442
PLUG,PLUG POWER INC,3620,Electrical Industrial Apparatus,0,405483
SPSC,SPS COMMERCE INC,7372,Services-Prepackaged Software,0,3240785
MTLS,MATERIALISE NV,7372,Services-Prepackaged Software,0,6296436
AUDC,AUDIOCODES LTD,3661,Telephone & Telegraph Apparatus,0,25238
EXTR,EXTREME NETWORKS INC,3576,Computer Communications Equipment,0,28374
NTCT,NETSCOUT SYSTEMS INC,7373,Services-Computer Integrated Systems Design,0,32039
BB,BLACKBERRY Ltd,7372,Services-Prepackaged Software,0,399960
INFY,Infosys Ltd,7371,Services-Computer Programming Services,0,398006
DOX,AMDOCS LTD,7371,Services-Computer Programming Services,0,24686
IMMR,IMMERSION CORP,3577,"Computer Peripheral Equipment, NEC",0,93473
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,Services-Computer Programming Services,0,386024
MANH,MANHATTAN ASSOCIATES INC,7372,Services-Prepackaged Software,2,382975
AXTI,AXT INC,3674,Semiconductors & Related Devices,0,383981
CNXN,PC CONNECTION INC,5961,Retail-Catalog & Mail-Order Houses,0,380864
DSGX,DESCARTES SYSTEMS GROUP INC,7372,Services-Prepackaged Software,0,35352
MRCY,MERCURY SYSTEMS INC,3670,Electronic Components & Accessories,0,376921
FFIV,"F5, INC.",3576,Computer Communications Equipment,0,90323
AMKR,"AMKOR TECHNOLOGY, INC.",3674,Semiconductors & Related Devices,0,1857213663
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3674,Semiconductors & Related Devices,0,380075
NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,0,32307
OSPN,OneSpan Inc.,7373,Services-Computer Integrated Systems Design,0,385488
FORM,FORMFACTOR INC,3674,Semiconductors & Related Devices,0,28648
OSIS,OSI SYSTEMS INC,3674,Semiconductors & Related Devices,0,366230
SLAB,SILICON LABORATORIES INC.,3674,Semiconductors & Related Devices,0,34345
UMC,UNITED MICROELECTRONICS CORP,3674,Semiconductors & Related Devices,0,528092
LOGI,LOGITECH INTERNATIONAL S.A.,3577,"Computer Peripheral Equipment, NEC",0,388005
BSY,BENTLEY SYSTEMS INC,7372,Services-Prepackaged Software,0,25514
CLS,CELESTICA INC,3672,Printed Circuit Boards,0,26238
EGHT,8X8 INC /DE/,7374,Services-Computer Processing & Data Preparation,0,362956
SLP,"Simulations Plus, Inc.",7373,Services-Computer Integrated Systems Design,0,36632529
INSG,INSEEGO CORP.,3669,"Communications Equipment, NEC",0,611012854
AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,0,18749
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,7372,Services-Prepackaged Software,0,26399
VRSN,VERISIGN INC/CA,7371,Services-Computer Programming Services,0,36216
PEGA,PEGASYSTEMS INC,7374,Services-Computer Processing & Data Preparation,0,350216
FDS,FACTSET RESEARCH SYSTEMS INC,7370,"Services-Computer Programming, Data Processing, Etc.",0,347669
CSGS,CSG SYSTEMS INTERNATIONAL INC,7374,Services-Computer Processing & Data Preparation,0,27223
OLED,UNIVERSAL DISPLAY CORP PA,3670,Electronic Components & Accessories,0,391070
NICE,NICE Ltd.,7372,Services-Prepackaged Software,0,1862098736
OTEX,OPEN TEXT CORP,7373,Services-Computer Integrated Systems Design,0,20528442
NTAP,"NetApp, Inc.",3572,Computer Storage Devices,0,32052
SAP,SAP SE,7372,Services-Prepackaged Software,0,619981
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372,Services-Prepackaged Software,0,371281
SCKT,"SOCKET MOBILE, INC.",3571,Electronic Computers,0,342660
CIEN,CIENA CORP,3661,Telephone & Telegraph Apparatus,0,26486
ACIW,"ACI WORLDWIDE, INC.",7372,Services-Prepackaged Software,0,35695
STM,STMicroelectronics N.V.,3674,Semiconductors & Related Devices,0,878826
NSIT,INSIGHT ENTERPRISES INC,5961,Retail-Catalog & Mail-Order Houses,0,336930
EAF,GRAFTECH INTERNATIONAL LTD,3620,Electrical Industrial Apparatus,2,35922
TSEM,TOWER SEMICONDUCTOR LTD,3674,Semiconductors & Related Devices,0,331231
AEIS,ADVANCED ENERGY INDUSTRIES INC,3679,"Electronic Components, NEC",0,343596
OMCL,"OMNICELL, INC.",3571,Electronic Computers,0,32401
ADTN,"ADTRAN Holdings, Inc.",3661,Telephone & Telegraph Apparatus,0,332752
NOK,NOKIA CORP,3663,Radio & Tv Broadcasting & Communications Equipment,0,205573
RMBS,RAMBUS INC,3674,Semiconductors & Related Devices,0,1935701257
VIAV,VIAVI SOLUTIONS INC.,3674,Semiconductors & Related Devices,0,96079
DDD,3D SYSTEMS CORP,7372,Services-Prepackaged Software,0,308402
TCX,TUCOWS INC /PA/,7374,Services-Computer Processing & Data Preparation,0,1342547
INOD,INNODATA INC,7374,Services-Computer Processing & Data Preparation,0,330019
JBL,JABIL INC,3672,Printed Circuit Boards,0,96078
SANM,SANMINA CORP,3672,Printed Circuit Boards,0,34039
GILT,GILAT SATELLITE NETWORKS LTD,3663,Radio & Tv Broadcasting & Communications Equipment,0,328513
INTU,INTUIT INC.,7372,Services-Prepackaged Software,0,21171
CTLP,"CANTALOUPE, INC.",3578,Calculating & Accounting Machines (No Electronic Computers),0,400346
MTCH,"Match Group, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",0,355279
FCEL,FUELCELL ENERGY INC,3620,Electrical Industrial Apparatus,0,332124
SPNS,SAPIENS INTERNATIONAL CORP N V,7372,Services-Prepackaged Software,0,370217
SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software,0,678860093
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,3621,Motors & Generators,0,34933
PRGS,PROGRESS SOFTWARE CORP /MA,7372,Services-Prepackaged Software,0,33351
ESE,ESCO TECHNOLOGIES INC,3669,"Communications Equipment, NEC",0,269960
FLEX,FLEX LTD.,3672,Printed Circuit Boards,0,26510
ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Semiconductors & Related Devices,0,4245259
BHE,BENCHMARK ELECTRONICS INC,3672,Printed Circuit Boards,0,255180
TYL,TYLER TECHNOLOGIES INC,7372,Services-Prepackaged Software,0,309821
CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,0,19691
PTC,PTC INC.,7372,Services-Prepackaged Software,0,882745
LSCC,LATTICE SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,0,284137
DGII,DIGI INTERNATIONAL INC,3576,Computer Communications Equipment,0,266694
HLIT,HARMONIC INC.,3663,Radio & Tv Broadcasting & Communications Equipment,0,715426315
GEN,Gen Digital Inc.,7372,Services-Prepackaged Software,0,3379847
POWI,POWER INTEGRATIONS INC,3674,Semiconductors & Related Devices,0,33163
MCHP,MICROCHIP TECHNOLOGY INC,3674,Semiconductors & Related Devices,0,31500
APH,AMPHENOL CORP /DE/,3678,Electronic Connectors,0,434971080
SYNA,SYNAPTICS Inc,3674,Semiconductors & Related Devices,0,35013
TDC,TERADATA CORP /DE/,7372,Services-Prepackaged Software,0,97999
CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,0,25941
PLAB,PHOTRONICS INC,3674,Semiconductors & Related Devices,0,296511
MITK,MITEK SYSTEMS INC,3577,"Computer Peripheral Equipment, NEC",0,288586
QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,0,33493
AIFF,"FIREFLY NEUROSCIENCE, INC.",7372,Services-Prepackaged Software,0,1832386409
CLFD,"Clearfield, Inc.",3661,Telephone & Telegraph Apparatus,0,247156
ADBE,ADOBE INC.,7372,Services-Prepackaged Software,0,24321
MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,0,21835
PLXS,PLEXUS CORP,3672,Printed Circuit Boards,0,102348
JKHY,JACK HENRY & ASSOCIATES INC,7373,Services-Computer Integrated Systems Design,0,277617
CRUS,"CIRRUS LOGIC, INC.",3674,Semiconductors & Related Devices,0,26515
KOPN,KOPIN CORP,3674,Semiconductors & Related Devices,0,30594
ADSK,"Autodesk, Inc.",7372,Services-Prepackaged Software,0,119902
VICR,VICOR CORP,3679,"Electronic Components, NEC",0,311959
LNW,"Light & Wonder, Inc.",7373,Services-Computer Integrated Systems Design,0,25304
RCAT,"Red Cat Holdings, Inc.",7372,Services-Prepackaged Software,0,558103995
UIS,UNISYS CORP,7373,Services-Computer Integrated Systems Design,0,310310
RAMP,"LiveRamp Holdings, Inc.",7374,Services-Computer Processing & Data Preparation,0,24292
MU,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices,0,289030
ERIC,ERICSSON LM TELEPHONE CO,3663,Radio & Tv Broadcasting & Communications Equipment,0,269706
EA,ELECTRONIC ARTS INC.,7372,Services-Prepackaged Software,0,60413914
QMCO,QUANTUM CORP /DE/,3572,Computer Storage Devices,2,401890
PAR,PAR TECHNOLOGY CORP,3578,Calculating & Accounting Machines (No Electronic Computers),0,25036829
AAPL,Apple Inc.,3571,Electronic Computers,0,24937
TLS,TELOS CORP,7373,Services-Computer Integrated Systems Design,0,867124
PSN,PARSONS CORP,7373,Services-Computer Integrated Systems Design,0,876693
WWD,"Woodward, Inc.",3620,Electrical Industrial Apparatus,0,314690
WDC,WESTERN DIGITAL CORP,3572,Computer Storage Devices,0,314057
VSH,VISHAY INTERTECHNOLOGY INC,3670,Electronic Components & Accessories,0,312427
TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices,0,140283
SMTC,SEMTECH CORP,3674,Semiconductors & Related Devices,2,284796075
PBI,PITNEY BOWES INC /DE/,3579,"Office Machines, NEC",0,297018
AGYS,AGILYSYS INC,7373,Services-Computer Integrated Systems Design,0,297147
VYX,NCR Voyix Corp,3578,Calculating & Accounting Machines (No Electronic Computers),0,169308
NSSC,"NAPCO SECURITY TECHNOLOGIES, INC",3669,"Communications Equipment, NEC",2,289814
MSI,"Motorola Solutions, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,0,99186
MVIS,"MICROVISION, INC.",3679,"Electronic Components, NEC",0,127282
MEI,METHODE ELECTRONICS INC,3678,Electronic Connectors,0,287585
KLIC,KULICKE & SOFFA INDUSTRIES INC,3674,Semiconductors & Related Devices,0,283588
IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment,0,112350
INTC,INTEL CORP,3674,Semiconductors & Related Devices,0,21127
HUBB,HUBBELL INC,3670,Electronic Components & Accessories,0,279750
HPQ,HP INC,3570,Computer & office Equipment,0,3103103
FELE,FRANKLIN ELECTRIC CO INC,3621,Motors & Generators,0,273729
DIOD,DIODES INC /DEL/,3674,Semiconductors & Related Devices,0,266907
DBD,"DIEBOLD NIXDORF, Inc",3578,Calculating & Accounting Machines (No Electronic Computers),0,266767
CTS,CTS CORP,3672,Printed Circuit Boards,0,258010
CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Radio & Tv Broadcasting & Communications Equipment,0,262961
CACI,CACI INTERNATIONAL INC /DE/,7373,Services-Computer Integrated Systems Design,0,93425
ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,0,116203733
AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,0,251230
ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices,0,92816
SWKS,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices,2,1462309
AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,0,20417382
