ticker,title,CIK,SIC,SIC_description
GMGI,"Golden Matrix Group, Inc.",1437925,7372,Services-Prepackaged Software
DMRC,Digimarc CORP,1438231,7373,Services-Computer Integrated Systems Design
MRAM,EVERSPIN TECHNOLOGIES INC.,1438423,3674,Semiconductors & Related Devices
APPN,APPIAN CORP,1441683,7372,Services-Prepackaged Software
MDB,"MongoDB, Inc.",1441816,7372,Services-Prepackaged Software
VRSK,"Verisk Analytics, Inc.",1442145,7374,Services-Computer Processing & Data Preparation
WK,WORKIVA INC,1445305,7372,Services-Prepackaged Software
MFON,MOBIVITY HOLDINGS CORP.,1447380,7372,Services-Prepackaged Software
TWLO,TWILIO INC,1447669,7372,Services-Prepackaged Software
SITM,SITIME Corp,1451809,3674,Semiconductors & Related Devices
BLDP,Ballard Power Systems Inc.,1453015,3620,Electrical Industrial Apparatus
GMER,"GOOD GAMING, INC.",1454742,7372,Services-Prepackaged Software
TEAD,Teads Holding Co.,1454938,7370,"Services-Computer Programming, Data Processing, Etc."
ALRM,"Alarm.com Holdings, Inc.",1459200,7372,Services-Prepackaged Software
BLZE,"Backblaze, Inc.",1462056,7372,Services-Prepackaged Software
NIXX,"Nixxy, Inc.",1462223,7371,Services-Computer Programming Services
ENPH,"Enphase Energy, Inc.",1463101,3674,Semiconductors & Related Devices
VUZI,Vuzix Corp,1463972,3663,Radio & Tv Broadcasting & Communications Equipment
DBX,"DROPBOX, INC.",1467623,7372,Services-Prepackaged Software
FIEE,"FiEE, Inc.",1467761,3661,Telephone & Telegraph Apparatus
SITS,"SOUTHERN ITS INTERNATIONAL, INC.",1468978,7372,Services-Prepackaged Software
PSTG,"Pure Storage, Inc.",1474432,3572,Computer Storage Devices
GNRC,GENERAC HOLDINGS INC.,1474735,3621,Motors & Generators
EB,"Eventbrite, Inc.",1475115,7370,"Services-Computer Programming, Data Processing, Etc."
EXFY,"Expensify, Inc.",1476840,7372,Services-Prepackaged Software
NET,"Cloudflare, Inc.",1477333,7372,Services-Prepackaged Software
DQ,DAQO NEW ENERGY CORP.,1477641,3674,Semiconductors & Related Devices
ASAN,"Asana, Inc.",1477720,7372,Services-Prepackaged Software
CCTC,Catalyst Crew Technologies Corp.,1477960,7370,"Services-Computer Programming, Data Processing, Etc."
HYSR,"SUNHYDROGEN, INC.",1481028,3674,Semiconductors & Related Devices
JKS,"JinkoSolar Holding Co., Ltd.",1481513,3674,Semiconductors & Related Devices
HFUS,"Hartford Creative Group, Inc.",1482554,7374,Services-Computer Processing & Data Preparation
TDUP,ThredUp Inc.,1484778,5961,Retail-Catalog & Mail-Order Houses
FRZT,"Freeze Tag, Inc.",1485074,7372,Services-Prepackaged Software
VPG,"Vishay Precision Group, Inc.",1487952,3670,Electronic Components & Accessories
THR,"Thermon Group Holdings, Inc.",1489096,3620,Electrical Industrial Apparatus
MTSI,"MACOM Technology Solutions Holdings, Inc.",1493594,3674,Semiconductors & Related Devices
TBCH,Turtle Beach Corp,1493761,3669,"Communications Equipment, NEC"
CARG,"CarGurus, Inc.",1494259,7374,Services-Computer Processing & Data Preparation
FYNN,Fyntechnical Innovations Inc,1497230,7374,Services-Computer Processing & Data Preparation
CTGL,"CITRINE GLOBAL, CORP.",1498067,7372,Services-Prepackaged Software
AITX,Artificial Intelligence Technology Solutions Inc.,1498148,7372,Services-Prepackaged Software
IWAL,iWallet Corp,1498372,3669,"Communications Equipment, NEC"
AMBQ,"Ambiq Micro, Inc.",1500412,3674,Semiconductors & Related Devices
UPLD,"Upland Software, Inc.",1505155,7372,Services-Prepackaged Software
DOMO,"DOMO, INC.",1505952,7372,Services-Prepackaged Software
PINS,"PINTEREST, INC.",1506293,7370,"Services-Computer Programming, Data Processing, Etc."
IPWR,Ideal Power Inc.,1507957,3674,Semiconductors & Related Devices
VNET,"VNET Group, Inc.",1508475,7370,"Services-Computer Programming, Data Processing, Etc."
MTBLY,"Moatable, Inc.",1509223,7372,Services-Prepackaged Software
XNET,Xunlei Ltd,1510593,7372,Services-Prepackaged Software
UI,Ubiquiti Inc.,1511737,3663,Radio & Tv Broadcasting & Communications Equipment
XYZ,"Block, Inc.",1512673,7372,Services-Prepackaged Software
NBIS,Nebius Group N.V.,1513845,7370,"Services-Computer Programming, Data Processing, Etc."
TESI,Titan Environmental Solutions Inc.,1514056,7371,Services-Computer Programming Services
BAND,Bandwidth Inc.,1514416,7372,Services-Prepackaged Software
DOCS,"Doximity, Inc.",1516513,7371,Services-Computer Programming Services
COMM,"CommScope Holding Company, Inc.",1517228,3663,Radio & Tv Broadcasting & Communications Equipment
SPT,"Sprout Social, Inc.",1517375,7372,Services-Prepackaged Software
JFIL,"Jubilant Flame International, Ltd",1517389,7371,Services-Computer Programming Services
SSYS,STRATASYS LTD.,1517396,3577,"Computer Peripheral Equipment, NEC"
FSLY,"Fastly, Inc.",1517413,7372,Services-Prepackaged Software
AMPG,"AmpliTech Group, Inc.",1518461,3669,"Communications Equipment, NEC"
MQ,"Marqeta, Inc.",1522540,7372,Services-Prepackaged Software
LITB,"LightInTheBox Holding Co., Ltd.",1523836,5961,Retail-Catalog & Mail-Order Houses
GDS,GDS Holdings Ltd,1526125,7370,"Services-Computer Programming, Data Processing, Etc."
TRIP,"TripAdvisor, Inc.",1526520,7370,"Services-Computer Programming, Data Processing, Etc."
ATHM,Autohome Inc.,1527636,7374,Services-Computer Processing & Data Preparation
WNFT,Worldwide NFT Inc.,1528188,7374,Services-Computer Processing & Data Preparation
GWRE,"Guidewire Software, Inc.",1528396,7372,Services-Prepackaged Software
XTIA,"XTI Aerospace, Inc.",1529113,7371,Services-Computer Programming Services
VIPS,Vipshop Holdings Ltd,1529192,5961,Retail-Catalog & Mail-Order Houses
ALKT,"ALKAMI TECHNOLOGY, INC.",1529274,7372,Services-Prepackaged Software
JOYY,JOYY Inc.,1530238,7374,Services-Computer Processing & Data Preparation
HNST,"Honest Company, Inc.",1530979,5961,Retail-Catalog & Mail-Order Houses
AUID,authID Inc.,1534154,7372,Services-Prepackaged Software
CRWD,"CrowdStrike Holdings, Inc.",1535527,7372,Services-Prepackaged Software
FRSH,Freshworks Inc.,1544522,7372,Services-Prepackaged Software
IPDN,"Professional Diversity Network, Inc.",1546296,7370,"Services-Computer Programming, Data Processing, Etc."
SKKY,"Skkynet Cloud Systems, Inc.",1546853,7372,Services-Prepackaged Software
SSTK,"Shutterstock, Inc.",1549346,7374,Services-Computer Processing & Data Preparation
TAOP,Taoping Inc.,1552670,7372,Services-Prepackaged Software
AUUD,AUDDIA INC.,1554818,7374,Services-Computer Processing & Data Preparation
CIIT,"Tianci International, Inc.",1557798,3576,Computer Communications Equipment
GLOB,Globant S.A.,1557860,7374,Services-Computer Processing & Data Preparation
PKKFF,Tenet Fintech Group Inc.,1558924,7372,Services-Prepackaged Software
EVTC,"EVERTEC, Inc.",1559865,7374,Services-Computer Processing & Data Preparation
RPD,"Rapid7, Inc.",1560327,7372,Services-Prepackaged Software
DDOG,"Datadog, Inc.",1561550,7372,Services-Prepackaged Software
DUOL,"Duolingo, Inc.",1562088,7372,Services-Prepackaged Software
SNAP,Snap Inc,1564408,7370,"Services-Computer Programming, Data Processing, Etc."
VISL,"Vislink Technologies, Inc.",1565228,3669,"Communications Equipment, NEC"
INTA,"Intapp, Inc.",1565687,7372,Services-Prepackaged Software
PD,"PagerDuty, Inc.",1568100,7372,Services-Prepackaged Software
BMTM,"Bright Mountain Media, Inc.",1568385,7371,Services-Computer Programming Services
APYP,"APPYEA, INC",1568969,7371,Services-Computer Programming Services
CXM,"Sprinklr, Inc.",1569345,7372,Services-Prepackaged Software
SAIC,Science Applications International Corp,1571123,7373,Services-Computer Integrated Systems Design
DELL,Dell Technologies Inc.,1571996,3571,Electronic Computers
WATT,Energous Corp,1575793,3663,Radio & Tv Broadcasting & Communications Equipment
WIX,Wix.com Ltd.,1576789,7370,"Services-Computer Programming, Data Processing, Etc."
SFIX,"Stitch Fix, Inc.",1576942,5961,Retail-Catalog & Mail-Order Houses
XYLB,"XY Labs, Inc.",1577351,3669,"Communications Equipment, NEC"
ODYS,Odysight.ai Inc.,1577445,7373,Services-Computer Integrated Systems Design
AI,"C3.ai, Inc.",1577526,7372,Services-Prepackaged Software
FIG,"Figma, Inc.",1579878,7372,Services-Prepackaged Software
ATEN,"A10 Networks, Inc.",1580808,3576,Computer Communications Equipment
LIF,"Life360, Inc.",1581760,7374,Services-Computer Processing & Data Preparation
DOCN,"DigitalOcean Holdings, Inc.",1582961,7370,"Services-Computer Programming, Data Processing, Etc."
CCLD,"CareCloud, Inc.",1582982,7372,Services-Prepackaged Software
S,"SentinelOne, Inc.",1583708,7372,Services-Prepackaged Software
GTIC,"Greentech Innovations, Inc.",1584480,7372,Services-Prepackaged Software
ZM,"Zoom Communications, Inc.",1585521,7370,"Services-Computer Programming, Data Processing, Etc."
PAYC,"Paycom Software, Inc.",1590955,7372,Services-Prepackaged Software
PCTY,Paylocity Holding Corp,1591698,7372,Services-Prepackaged Software
IPSI,"Innovative Payment Solutions, Inc.",1591913,5961,Retail-Catalog & Mail-Order Houses
BRGX,"BIOREGENX, INC.",1593184,7370,"Services-Computer Programming, Data Processing, Etc."
NUGN,"Livento Group, Inc.",1593549,7372,Services-Prepackaged Software
SHOP,SHOPIFY INC.,1594805,7372,Services-Prepackaged Software
WB,WEIBO Corp,1595761,7370,"Services-Computer Programming, Data Processing, Etc."
MGNI,"MAGNITE, INC.",1595974,7370,"Services-Computer Programming, Data Processing, Etc."
ANET,"Arista Networks, Inc.",1596532,3576,Computer Communications Equipment
RDNW,"RideNow Group, Inc.",1596961,7371,Services-Computer Programming Services
SABR,Sabre Corp,1597033,7370,"Services-Computer Programming, Data Processing, Etc."
CMCM,Cheetah Mobile Inc.,1597835,7372,Services-Prepackaged Software
CYBR,CyberArk Software Ltd.,1598110,7372,Services-Prepackaged Software
DIBS,"1stdibs.com, Inc.",1600641,5961,Retail-Catalog & Mail-Order Houses
KSCP,"Knightscope, Inc.",1600983,3669,"Communications Equipment, NEC"
FNGR,"FingerMotion, Inc.",1602409,7372,Services-Prepackaged Software
VIA,"Via Transportation, Inc.",1603015,7372,Services-Prepackaged Software
ULY,Urgent.ly Inc.,1603652,7374,Services-Computer Processing & Data Preparation
QRVO,"Qorvo, Inc.",1604778,3674,Semiconductors & Related Devices
KE,"Kimball Electronics, Inc.",1606757,3672,Printed Circuit Boards
WEAV,"Weave Communications, Inc.",1609151,7372,Services-Prepackaged Software
GDDY,GoDaddy Inc.,1609711,7373,Services-Computer Integrated Systems Design
MOMO,Hello Group Inc.,1610601,7372,Services-Prepackaged Software
PCOR,"PROCORE TECHNOLOGIES, INC.",1611052,7372,Services-Prepackaged Software
YEXT,"Yext, Inc.",1614178,7374,Services-Computer Processing & Data Preparation
INSE,"Inspired Entertainment, Inc.",1615063,7372,Services-Prepackaged Software
VERI,"Veritone, Inc.",1615165,7374,Services-Computer Processing & Data Preparation
WEWA,"WEWARDS, INC.",1616156,7370,"Services-Computer Programming, Data Processing, Etc."
PENG,"Penguin Solutions, Inc.",1616533,3674,Semiconductors & Related Devices
W,Wayfair Inc.,1616707,5961,Retail-Catalog & Mail-Order Houses
ZIP,"ZIPRECRUITER, INC.",1617553,7370,"Services-Computer Programming, Data Processing, Etc."
NTNX,"Nutanix, Inc.",1618732,7372,Services-Prepackaged Software
CLOW,"Cloudweb, Inc.",1619227,7370,"Services-Computer Programming, Data Processing, Etc."
SLE,"Super League Enterprise, Inc.",1621672,7373,Services-Computer Integrated Systems Design
NRDS,"NERDWALLET, INC.",1625278,7374,Services-Computer Processing & Data Preparation
BZUN,Baozun Inc.,1625414,5961,Retail-Catalog & Mail-Order Houses
LAW,"CS Disco, Inc.",1625641,7372,Services-Prepackaged Software
CMRC,"Commerce.com, Inc.",1626450,7372,Services-Prepackaged Software
UPWK,"UPWORK, INC",1627475,7374,Services-Computer Processing & Data Preparation
ALBT,Avalon GloboCare Corp.,1630212,7371,Services-Computer Programming Services
DTSS,DATASEA INC.,1631282,7372,Services-Prepackaged Software
CAST,"FreeCast, Inc.",1633369,7374,Services-Computer Processing & Data Preparation
LITE,Lumentum Holdings Inc.,1633978,3669,"Communications Equipment, NEC"
FLUT,Flutter Entertainment plc,1635327,7370,"Services-Computer Programming, Data Processing, Etc."
HCAT,"Health Catalyst, Inc.",1636422,7370,"Services-Computer Programming, Data Processing, Etc."
ZSPC,"zSpace, Inc.",1637147,7372,Services-Prepackaged Software
TTAN,"ServiceTitan, Inc.",1638826,7372,Services-Prepackaged Software
NAVN,"Navan, Inc.",1639723,7372,Services-Prepackaged Software
SNOW,Snowflake Inc.,1640147,7372,Services-Prepackaged Software
EVER,"EverQuote, Inc.",1640428,7370,"Services-Computer Programming, Data Processing, Etc."
IOT,Samsara Inc.,1642896,7373,Services-Computer Integrated Systems Design
NNDM,Nano Dimension Ltd.,1643303,3672,Printed Circuit Boards
WBSR,Webstar Technology Group Inc.,1645155,7372,Services-Prepackaged Software
HPE,Hewlett Packard Enterprise Co,1645590,3570,Computer & office Equipment
ONDS,Ondas Holdings Inc.,1646188,3663,Radio & Tv Broadcasting & Communications Equipment
SVMB,"Jingbo Technology, Inc.",1647822,7372,Services-Prepackaged Software
TOST,"Toast, Inc.",1650164,7374,Services-Computer Processing & Data Preparation
TEAM,Atlassian Corp,1650372,7372,Services-Prepackaged Software
BRQSF,"Borqs Technologies, Inc.",1650575,7373,Services-Computer Integrated Systems Design
COUR,"Coursera, Inc.",1651562,7372,Services-Prepackaged Software
ASFT,"Appsoft Technologies, Inc.",1651992,7372,Services-Prepackaged Software
GOOGL,Alphabet Inc.,1652044,7370,"Services-Computer Programming, Data Processing, Etc."
ICHR,"ICHOR HOLDINGS, LTD.",1652535,3674,Semiconductors & Related Devices
GTLB,Gitlab Inc.,1653482,7372,Services-Prepackaged Software
EHVVF,"Ehave, Inc.",1653606,7371,Services-Computer Programming Services
DAVA,Endava plc,1656081,7371,Services-Computer Programming Services
OKTA,"Okta, Inc.",1660134,7372,Services-Prepackaged Software
TENB,"Tenable Holdings, Inc.",1660280,7372,Services-Prepackaged Software
KULR,"KULR Technology Group, Inc.",1662684,3670,Electronic Components & Accessories
BE,Bloom Energy Corp,1664703,3620,Electrical Industrial Apparatus
PHUN,"Phunware, Inc.",1665300,7374,Services-Computer Processing & Data Preparation
CDLX,"Cardlytics, Inc.",1666071,7370,"Services-Computer Programming, Data Processing, Etc."
BL,"BLACKLINE, INC.",1666134,7372,Services-Prepackaged Software
AIP,"Arteris, Inc.",1667011,3674,Semiconductors & Related Devices
ZDGE,"Zedge, Inc.",1667313,7372,Services-Prepackaged Software
TTD,"Trade Desk, Inc.",1671933,7370,"Services-Computer Programming, Data Processing, Etc."
SEGG,Lottery.com Inc.,1673481,7372,Services-Prepackaged Software
HNGE,"Hinge Health, Inc.",1673743,7374,Services-Computer Processing & Data Preparation
VRT,Vertiv Holdings Co,1674101,3679,"Electronic Components, NEC"
WORX,SCWorx Corp.,1674227,7374,Services-Computer Processing & Data Preparation
YYAI,AIRWA INC.,1674440,7370,"Services-Computer Programming, Data Processing, Etc."
BRZE,"Braze, Inc.",1676238,7372,Services-Prepackaged Software
UPYY,UPAY,1677897,7372,Services-Prepackaged Software
CAHO,Caro Holdings Inc.,1678105,5961,Retail-Catalog & Mail-Order Houses
VREX,Varex Imaging Corp,1681622,3679,"Electronic Components, NEC"
CARS,Cars.com Inc.,1683606,7374,Services-Computer Processing & Data Preparation
TRVG,trivago N.V.,1683825,7374,Services-Computer Processing & Data Preparation
CRCW,Crypto Co,1688126,7374,Services-Computer Processing & Data Preparation
DXC,DXC Technology Co,1688568,7374,Services-Computer Processing & Data Preparation
FRSX,Foresight Autonomous Holdings Ltd.,1691221,7372,Services-Prepackaged Software
REKR,"Rekor Systems, Inc.",1697851,3669,"Communications Equipment, NEC"
CFLT,"Confluent, Inc.",1699838,7372,Services-Prepackaged Software
VS,Versus Systems Inc.,1701963,7374,Services-Computer Processing & Data Preparation
AGMH,"AGM GROUP HOLDINGS, INC.",1705402,7371,Services-Computer Programming Services
ESTC,Elastic N.V.,1707753,7372,Services-Prepackaged Software
RBBN,Ribbon Communications Inc.,1708055,7373,Services-Computer Integrated Systems Design
MYND,"Mynd.ai, Inc.",1708441,3577,"Computer Peripheral Equipment, NEC"
GFS,GLOBALFOUNDRIES Inc.,1709048,3674,Semiconductors & Related Devices
CSAI,"CLOUDASTRUCTURE, INC.",1709628,7370,"Services-Computer Programming, Data Processing, Etc."
PNXP,PINEAPPLE EXPRESS CANNABIS Co,1710495,7372,Services-Prepackaged Software
PAGS,PagSeguro Digital Ltd.,1712807,7374,Services-Computer Processing & Data Preparation
RDDT,"Reddit, Inc.",1713445,7374,Services-Computer Processing & Data Preparation
ZS,"Zscaler, Inc.",1713683,7371,Services-Computer Programming Services
AIJTY,Jianpu Technology Inc.,1713923,7370,"Services-Computer Programming, Data Processing, Etc."
LCHD,Leader Capital Holdings Corp.,1715433,7371,Services-Computer Programming Services
PT,Pintec Technology Holdings Ltd,1716338,7370,"Services-Computer Programming, Data Processing, Etc."
TEM,"Tempus AI, Inc.",1717115,7370,"Services-Computer Programming, Data Processing, Etc."
IDAI,T Stamp Inc,1718939,7372,Services-Prepackaged Software
RDVT,"Red Violet, Inc.",1720116,7372,Services-Prepackaged Software
IBEX,IBEX Ltd,1720420,7374,Services-Computer Processing & Data Preparation
ZEPP,Zepp Health Corp,1720446,3571,Electronic Computers
JAMF,Jamf Holding Corp.,1721947,7372,Services-Prepackaged Software
FDCT,"FDCTECH, INC.",1722731,7372,Services-Prepackaged Software
BILI,Bilibili Inc.,1723690,7374,Services-Computer Processing & Data Preparation
CLPS,CLPS Inc,1724542,7372,Services-Prepackaged Software
DAY,"Dayforce, Inc.",1725057,7372,Services-Prepackaged Software
CANG,Cango Inc.,1725123,7372,Services-Prepackaged Software
ALAR,Alarum Technologies Ltd.,1725332,7372,Services-Prepackaged Software
HUYA,HUYA Inc.,1728190,7370,"Services-Computer Programming, Data Processing, Etc."
AVGO,Broadcom Inc.,1730168,3674,Semiconductors & Related Devices
EBZT,"Everything Blockchain, Inc.",1730869,7372,Services-Prepackaged Software
QTTOY,Qutoutiao Inc.,1733298,7370,"Services-Computer Programming, Data Processing, Etc."
SOHU,Sohu.com Ltd,1734107,7374,Services-Computer Processing & Data Preparation
CTKYY,CooTek(Cayman)Inc.,1734262,7374,Services-Computer Processing & Data Preparation
ALYAF,Alithya Group inc,1734520,7370,"Services-Computer Programming, Data Processing, Etc."
PATH,"UiPath, Inc.",1734722,7372,Services-Prepackaged Software
ALAB,"Astera Labs, Inc.",1736297,3674,Semiconductors & Related Devices
NEXCF,Nextech3D.AI Corp.,1737270,7371,Services-Computer Programming Services
JG,Aurora Mobile Ltd,1737339,7370,"Services-Computer Programming, Data Processing, Etc."
OPRA,Opera Ltd,1737450,7372,Services-Prepackaged Software
CMBM,Cambium Networks Corp,1738177,3663,Radio & Tv Broadcasting & Communications Equipment
WKEY,Wisekey International Holding S.A.,1738699,7374,Services-Computer Processing & Data Preparation
CHR,"Cheer Holding, Inc.",1738758,7374,Services-Computer Processing & Data Preparation
AVAI,AVANT TECHNOLOGIES INC.,1740797,7374,Services-Computer Processing & Data Preparation
HKIT,HiTek Global Inc.,1742341,7372,Services-Prepackaged Software
MTC,"MMTec, Inc.",1742518,7372,Services-Prepackaged Software
GDYN,"GRID DYNAMICS HOLDINGS, INC.",1743725,7372,Services-Prepackaged Software
CRSR,"Corsair Gaming, Inc.",1743759,3577,"Computer Peripheral Equipment, NEC"
STNE,StoneCo Ltd.,1745431,7374,Services-Computer Processing & Data Preparation
RVLV,"Revolve Group, Inc.",1746618,5961,Retail-Catalog & Mail-Order Houses
APP,AppLovin Corp,1751008,7370,"Services-Computer Programming, Data Processing, Etc."
PAVS,Paranovus Entertainment Technology Ltd.,1751876,7374,Services-Computer Processing & Data Preparation
SANG,Sangoma Technologies Corp,1753368,7370,"Services-Computer Programming, Data Processing, Etc."
QSJC,"TANCHENG GROUP CO., LTD.",1753391,7370,"Services-Computer Programming, Data Processing, Etc."
BKSY,BlackSky Technology Inc.,1753539,3663,Radio & Tv Broadcasting & Communications Equipment
SJ,Scienjoy Holding Corp,1753673,7374,Services-Computer Processing & Data Preparation
XTKG,"X3 Holdings Co., Ltd.",1754323,7371,Services-Computer Programming Services
ALDS,APPlife Digital Solutions Inc,1755101,7374,Services-Computer Processing & Data Preparation
JMIA,Jumia Technologies AG,1756708,5961,Retail-Catalog & Mail-Order Houses
QUBT,Quantum Computing Inc.,1758009,7372,Services-Prepackaged Software
SY,So-Young International Inc.,1758530,7374,Services-Computer Processing & Data Preparation
TRSO,TRANSUITE.ORG INC.,1758699,7370,"Services-Computer Programming, Data Processing, Etc."
GIFT,"GIFTIFY, INC.",1760233,5961,Retail-Catalog & Mail-Order Houses
CRKN,Crown Electrokinetics Corp.,1761696,3679,"Electronic Components, NEC"
NOWG,Nowigence Inc.,1761911,7370,"Services-Computer Programming, Data Processing, Etc."
DOYU,DouYu International Holdings Ltd,1762417,7370,"Services-Computer Programming, Data Processing, Etc."
CLVT,CLARIVATE PLC,1764046,7374,Services-Computer Processing & Data Preparation
GCGJ,GUOCHUN INTERNATIONAL INC.,1765048,7370,"Services-Computer Programming, Data Processing, Etc."
CHWY,"Chewy, Inc.",1766502,5961,Retail-Catalog & Mail-Order Houses
CRNC,Cerence Inc.,1768267,7372,Services-Prepackaged Software
CRWV,"CoreWeave, Inc.",1769628,7372,Services-Prepackaged Software
WIMI,WiMi Hologram Cloud Inc.,1770088,7372,Services-Prepackaged Software
XRX,Xerox Holdings Corp,1770450,3577,"Computer Peripheral Equipment, NEC"
DT,"Dynatrace, Inc.",1773383,7372,Services-Prepackaged Software
AIOT,"Powerfleet, Inc.",1774170,3669,"Communications Equipment, NEC"
SKIL,Skillsoft Corp.,1774675,7372,Services-Prepackaged Software
VQSSF,VIQ Solutions Inc.,1777765,7370,"Services-Computer Programming, Data Processing, Etc."
AVPT,"AvePoint, Inc.",1777921,7372,Services-Prepackaged Software
MAPS,"WM TECHNOLOGY, INC.",1779474,7372,Services-Prepackaged Software
LVLU,"Lulu's Fashion Lounge Holdings, Inc.",1780201,5961,Retail-Catalog & Mail-Order Houses
OCFT,"ONECONNECT FINANCIAL TECHNOLOGY CO., LTD.",1780531,7370,"Services-Computer Programming, Data Processing, Etc."
ANKM,"Ankam, Inc.",1781629,7371,Services-Computer Programming Services
SOGP,Sound Group Inc.,1783407,7370,"Services-Computer Programming, Data Processing, Etc."
BHIC,"BioScience Health Innovations, Inc.",1784440,7374,Services-Computer Processing & Data Preparation
PRCH,"Porch Group, Inc.",1784535,7372,Services-Prepackaged Software
NXTT,Next Technology Holding Inc.,1784970,7374,Services-Computer Processing & Data Preparation
BILL,"BILL Holdings, Inc.",1786352,7372,Services-Prepackaged Software
BWMX,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",1788257,5961,Retail-Catalog & Mail-Order Houses
XPER,Xperi Inc.,1788999,7372,Services-Prepackaged Software
VTEX,VTEX,1793663,7372,Services-Prepackaged Software
YALA,Yalla Group Ltd,1794350,7370,"Services-Computer Programming, Data Processing, Etc."
GTM,ZoomInfo Technologies Inc.,1794515,7372,Services-Prepackaged Software
KC,Kingsoft Cloud Holdings Ltd,1795589,7372,Services-Prepackaged Software
MAXN,"Maxeon Solar Technologies, Ltd.",1796898,3674,Semiconductors & Related Devices
DDI,"DoubleDown Interactive Co., Ltd.",1799567,7374,Services-Computer Processing & Data Preparation
IAC,IAC Inc.,1800227,7370,"Services-Computer Programming, Data Processing, Etc."
MLGO,MicroAlgo Inc.,1800392,7371,Services-Computer Programming Services
FROG,JFrog Ltd,1800667,7372,Services-Prepackaged Software
SBIG,"SpringBig Holdings, Inc.",1801602,7371,Services-Computer Programming Services
SKLZ,Skillz Inc.,1801661,7374,Services-Computer Processing & Data Preparation
MSPR,"MSP Recovery, Inc.",1802450,7374,Services-Computer Processing & Data Preparation
API,"Agora, Inc.",1802883,7372,Services-Prepackaged Software
OST,"Ostin Technology Group Co., Ltd.",1803407,3679,"Electronic Components, NEC"
RAASY,Cloopen Group Holding Ltd,1804583,7372,Services-Prepackaged Software
EVLV,"Evolv Technologies Holdings, Inc.",1805385,3577,"Computer Peripheral Equipment, NEC"
MKTW,"MARKETWISE, INC.",1805651,7372,Services-Prepackaged Software
SST,"System1, Inc.",1805833,7370,"Services-Computer Programming, Data Processing, Etc."
VERX,"Vertex, Inc.",1806837,7372,Services-Prepackaged Software
AMST,Amesite Inc.,1807166,7372,Services-Prepackaged Software
CRDO,Credo Technology Group Holding Ltd,1807794,3674,Semiconductors & Related Devices
GDRX,"GoodRx Holdings, Inc.",1809519,7374,Services-Computer Processing & Data Preparation
RXT,"Rackspace Technology, Inc.",1810019,7370,"Services-Computer Programming, Data Processing, Etc."
U,Unity Software Inc.,1810806,7372,Services-Prepackaged Software
PTRN,Pattern Group Inc.,1811935,5961,Retail-Catalog & Mail-Order Houses
FMHS,"FARMHOUSE, INC. /NV",1811999,7370,"Services-Computer Programming, Data Processing, Etc."
IFBD,"Infobird Co., Ltd",1815566,7372,Services-Prepackaged Software
TGCB,"Tego Cyber, Inc.",1815632,7370,"Services-Computer Programming, Data Processing, Etc."
LYTHF,Lytus Technologies Holdings PTV. Ltd.,1816319,7374,Services-Computer Processing & Data Preparation
GRFXF,Graphex Group Ltd,1816723,3620,Electrical Industrial Apparatus
SMTK,"SmartKem, Inc.",1817760,3674,Semiconductors & Related Devices
CCC,CCC Intelligent Solutions Holdings Inc.,1818201,7372,Services-Prepackaged Software
HTOO,Fusion Fuel Green PLC,1819794,3620,Electrical Industrial Apparatus
DV,"DoubleVerify Holdings, Inc.",1819928,7370,"Services-Computer Programming, Data Processing, Etc."
SKYT,"SkyWater Technology, Inc",1819974,3674,Semiconductors & Related Devices
GRND,Grindr Inc.,1820144,7370,"Services-Computer Programming, Data Processing, Etc."
CXAI,CXApp Inc.,1820875,7372,Services-Prepackaged Software
MSGM,Motorsport Games Inc.,1821175,7372,Services-Prepackaged Software
NVTS,Navitas Semiconductor Corp,1821769,3674,Semiconductors & Related Devices
BTQ,BTQ Technologies Corp.,1821866,7370,"Services-Computer Programming, Data Processing, Etc."
LSPD,Lightspeed Commerce Inc.,1823306,7372,Services-Prepackaged Software
TSPH,TuSimple Holdings Inc.,1823593,7373,Services-Computer Integrated Systems Design
MYPS,"PLAYSTUDIOS, Inc.",1823878,7372,Services-Prepackaged Software
CGNT,Cognyte Software Ltd.,1824814,7372,Services-Prepackaged Software
IONQ,"IonQ, Inc.",1824920,7373,Services-Computer Integrated Systems Design
TIXT,TELUS International (Cda) Inc.,1825155,7374,Services-Computer Processing & Data Preparation
ONFO,"Onfolio Holdings, Inc",1825452,7374,Services-Computer Processing & Data Preparation
RAYA,Erayak Power Solution Group Inc.,1825875,3621,Motors & Generators
BNZI,"Banzai International, Inc.",1826011,7372,Services-Prepackaged Software
WETH,Wetouch Technology Inc.,1826660,3577,"Computer Peripheral Equipment, NEC"
PDYN,Palladyne AI Corp.,1826681,7372,Services-Prepackaged Software
CERT,"Certara, Inc.",1827090,7372,Services-Prepackaged Software
PLTK,Playtika Holding Corp.,1828016,7374,Services-Computer Processing & Data Preparation
KARO,Karooooo Ltd.,1828102,7372,Services-Prepackaged Software
AUR,"Aurora Innovation, Inc.",1828108,7373,Services-Computer Integrated Systems Design
FTCI,"FTC Solar, Inc.",1828161,3674,Semiconductors & Related Devices
DSP,Viant Technology Inc.,1828791,7370,"Services-Computer Programming, Data Processing, Etc."
ALMU,"Aeluma, Inc.",1828805,3674,Semiconductors & Related Devices
